id,title,text,date,upvotes,comments,sentiment,category,keywords,week
1k8spco,Need Help with Housing!!!,"I'll be a first year master's student in the fall quarter, and I need to find housing but I'm from California. Are there specific areas to avoid? Specific landlords / realtors to avoid? And how early should I try to find housing? Would it be too late to find an apartment if I go look at some in August? (My program starts September 9th). Also if anyone is a graduate student, do people typically rent studios or try to find roommates?",2025-04-26 21:39:15,1,0,-0.3387182853493089,housing,"['housing', 'roommate']",7
1k8nlzt,Econ with Mian Dai,Hello! Has anyone had any Econ classes with Mian Dai and know how her exams are? Especially her midterms? Any help would be appreciated. ,2025-04-26 17:23:50,2,0,-0.6501953756073036,academic,"['exam', 'midterms']",7
1k8dq34,"URGENT Summer Course Choosing (CS375, CS360, CS432)","I’m planning to take CS360 with Jeremy Johnson and CS432 with Sean Grimes, and the rest of my courses are pretty chill. I wanted to take CS375 with Galen Long, but they switched it to Boris, so now I’m unsure. How is Boris? CS432 is just an elective for me, but CS375 is part of my concentration. I'm worried they might end up being too hard. I'm a sophomore — I’ve taken up to CS260 so far, but I can’t take CS283 next term because I have to leave before finals for study abroad, and Brian Stuart didn’t let me take it.",2025-04-26 10:05:28,3,3,0.01532239233920163,academic,"['finals', 'study']",7
1k8dfqv,PLEASE help me choose between Villanova and Drexel for Engineering.,"Decision day is so soon so I'm freaking out. I'll be going in as a mechanical engineering major and will be commuting to both schools. The price is only a $2000 difference (Drexel is cheaper). The pros for Drexel would be the Co-Op and Diversity, with the quarter system being a con. The pros for Nova are the alumni network and ranking, with the con being a lack of diversity. Any help would be greatly appreciated!!

",2025-04-26 09:51:50,2,14,0.11095618720816192,academic,"['bet', 'co-op']",7
1k8a7jw,Advice for an incoming international student?,"I’m majoring in Game Design & Production, planning to minor in Animation. I’m basically looking for anything I should know as an incoming student, so any and all help is greatly appreciated. I would also like some advice regarding the co-op program, like whether or not the 5 years path is worth it over the 4 years one. Thanks in advance!",2025-04-26 06:51:37,1,0,-0.2562386365191459,academic,['co-op'],7
1k82wvk,*FRESHMAN ADVICE*,"Just thought I’d do a good deed today and give 1st years some advice. Don’t walk, fucking sprint away from the summit. Don’t let them fool you with the fancy apartment ads or whatever. The management is atrocious and the apartments are terrible. You WILL NOT hear a good story about that place😭",2025-04-25 22:51:56,51,10,-0.029933585641435223,academic,[],7
1k7u978,graduate housing/apartments,"hi guys, i’m an incoming graduate student coming from nyc and im wondering what’s are some cheap and decent places around campus to live? i don’t know much about the area and if anyone is looking for a female roommate pls dm me! my budget is around $1000.",2025-04-25 15:56:24,2,2,-0.33005034941064637,housing,"['housing', 'roommate']",7
1k7spkf,Transgender Students and Dormatories,"Hi! I'm a trans newly admitted student to Drexel, and I was just wondering about what the school does about housing for Trans students.",2025-04-25 14:50:53,8,12,0.060370990424821525,housing,"['dorm', 'housing']",7
1k7r3v9,Couches to Nap On,"ongoing list

GHALL
first floor
- open room
- still nice bc people are pretty quiet
basement
- delicious naps when it’s empty
- kinda small
tutoring
- amazing when there’s no tutoring
- closed room

BOSSONE
7th floor
- outside counseling center
- pretty cushioned

MAIN
3rd floor
- literally in a hallway
- don’t recommend unless it’s quiet or you’re desperate

HAGS
basement
- nice but can be loudish
den
- good in the middle of the night but why not just go home

LEBOW ENGINEERING
first floor
- very delicious
- entrance across from cat

PENNONI (Bentley)
first floor
- by the fireplace",2025-04-25 13:45:40,21,2,-0.47693258420791607,academic,[],7
1k7kujh,Drexel flea market this weekend moved to Sunday due to rain,,2025-04-25 09:24:18,32,0,-0.21502435166935663,academic,[],7
1k7jnu4,placement exam question,"when i check the drexel website it says there are 2 types of math exams based on what you major in, calculus and something else, so which one will i have to take as a bs econ major?",2025-04-25 08:26:46,0,4,0.27796371837057054,academic,"['exam', 'math']",7
